%<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
2201.25,728.4,TM,1550,TMBraggTest,TMBraggTest_101_467,L-900um-width-456nm-corr-50nm
1716.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_22_471,L-200um-width-436nm-corr-0nm
1641.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_21_472,L-100um-width-456nm-corr-180nm
2879.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_35_473,L-200um-width-416nm-corr-180nm
2804.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_34_474,L-200um-width-416nm-corr-150nm
2729.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_33_475,L-200um-width-416nm-corr-110nm
2654.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_32_476,L-200um-width-416nm-corr-80nm
2579.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_31_477,L-200um-width-416nm-corr-50nm
2126.25,728.4,TM,1550,TMBraggTest,TMBraggTest_100_480,L-900um-width-456nm-corr-30nm
2051.25,728.4,TM,1550,TMBraggTest,TMBraggTest_99_481,L-900um-width-456nm-corr-0nm
1976.25,728.4,TM,1550,TMBraggTest,TMBraggTest_98_482,L-900um-width-416nm-corr-180nm
1901.25,728.4,TM,1550,TMBraggTest,TMBraggTest_97_483,L-900um-width-416nm-corr-150nm
1826.25,728.4,TM,1550,TMBraggTest,TMBraggTest_96_484,L-900um-width-416nm-corr-110nm
1751.25,728.4,TM,1550,TMBraggTest,TMBraggTest_95_485,L-900um-width-416nm-corr-80nm
1676.25,728.4,TM,1550,TMBraggTest,TMBraggTest_94_486,L-900um-width-416nm-corr-50nm
2316.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_30_487,L-200um-width-416nm-corr-30nm
2241.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_29_488,L-200um-width-416nm-corr-0nm
2166.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_28_489,L-200um-width-436nm-corr-180nm
2091.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_27_493,L-200um-width-436nm-corr-150nm
2016.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_26_494,L-200um-width-436nm-corr-110nm
2123.05,287.35,TM,1550,TMBraggTest,TMBraggTest_85_495,L-900um-width-436nm-corr-0nm
2048.05,287.35,TM,1550,TMBraggTest,TMBraggTest_84_496,L-600um-width-456nm-corr-180nm
1973.05,287.35,TM,1550,TMBraggTest,TMBraggTest_83_497,L-600um-width-456nm-corr-150nm
1898.05,287.35,TM,1550,TMBraggTest,TMBraggTest_82_498,L-600um-width-456nm-corr-110nm
1823.05,287.35,TM,1550,TMBraggTest,TMBraggTest_81_499,L-600um-width-456nm-corr-80nm
